Terms,Replace
"^biotech[ ]{1,}|[ ]{1,}biotech[ ]{1,}|[ ]{1,}biotech$",     biology     
"^big-dataadvanced[ ]{1,}|[ ]{1,}big-dataadvanced[ ]{1,}|[ ]{1,}big-dataadvanced$",     big-data     
"^analytics[ ]{1,}|[ ]{1,}analytics[ ]{1,}|[ ]{1,}analytics$",     analytics     
"^analysis[ ]{1,}|[ ]{1,}analysis[ ]{1,}|[ ]{1,}analysis$",     analytics     
"^mannerdata wrangling[ ]{1,}|[ ]{1,}mannerdata wrangling[ ]{1,}|[ ]{1,}mannerdata wrangling$",     data-wrangling     
"^visualisation[ ]{1,}|[ ]{1,}visualisation[ ]{1,}|[ ]{1,}visualisation$",     data-visualization     
"^visualizationsdesigning[ ]{1,}|[ ]{1,}visualizationsdesigning[ ]{1,}|[ ]{1,}visualizationsdesigning$",     data-visualization     
"^visualizationsidentify[ ]{1,}|[ ]{1,}visualizationsidentify[ ]{1,}|[ ]{1,}visualizationsidentify$",     data-visualization     
"^visual[ ]{1,}|[ ]{1,}visual[ ]{1,}|[ ]{1,}visual$",     data-visualization     
"^visualization[ ]{1,}|[ ]{1,}visualization[ ]{1,}|[ ]{1,}visualization$",     data-visualization     
"^statisticians[ ]{1,}|[ ]{1,}statisticians[ ]{1,}|[ ]{1,}statisticians$",     statistics     
"^computer scienceinformation[ ]{1,}|[ ]{1,}computer scienceinformation[ ]{1,}|[ ]{1,}computer scienceinformation$",     computer-science     
"^computer sciencestatistics[ ]{1,}|[ ]{1,}computer sciencestatistics[ ]{1,}|[ ]{1,}computer sciencestatistics$",     computer-science     
"^statistical[ ]{1,}|[ ]{1,}statistical[ ]{1,}|[ ]{1,}statistical$",     statistics     
"^mysql[ ]{1,}|[ ]{1,}mysql[ ]{1,}|[ ]{1,}mysql$",     sql     
"^nosql[ ]{1,}|[ ]{1,}nosql[ ]{1,}|[ ]{1,}nosql$",     sql     
"^accesssql[ ]{1,}|[ ]{1,}accesssql[ ]{1,}|[ ]{1,}accesssql$",     sql     
"^mysqlpostgresql[ ]{1,}|[ ]{1,}mysqlpostgresql[ ]{1,}|[ ]{1,}mysqlpostgresql$",     sql     
"^rsql[ ]{1,}|[ ]{1,}rsql[ ]{1,}|[ ]{1,}rsql$",     sql     
"^sqlhive[ ]{1,}|[ ]{1,}sqlhive[ ]{1,}|[ ]{1,}sqlhive$",     sql     
"^sqlhive[ ]{1,}|[ ]{1,}sqlhive[ ]{1,}|[ ]{1,}sqlhive$",     spark    
"^sqlhivespark[ ]{1,}|[ ]{1,}sqlhivespark[ ]{1,}|[ ]{1,}sqlhivespark$",     spark     
"^sqlmastery[ ]{1,}|[ ]{1,}sqlmastery[ ]{1,}|[ ]{1,}sqlmastery$",     sql     
"^sqlpreferred[ ]{1,}|[ ]{1,}sqlpreferred[ ]{1,}|[ ]{1,}sqlpreferred$",     sql     
"^sqlstatistics[ ]{1,}|[ ]{1,}sqlstatistics[ ]{1,}|[ ]{1,}sqlstatistics$",     sql     
"^apache-spark[ ]{1,}|[ ]{1,}apache-spark[ ]{1,}|[ ]{1,}apache-spark$",     spark     
"^apache-sparklrs[ ]{1,}|[ ]{1,}apache-sparklrs[ ]{1,}|[ ]{1,}apache-sparklrs$",     spark     
"^pyspark[ ]{1,}|[ ]{1,}pyspark[ ]{1,}|[ ]{1,}pyspark$",     spark     
"^hadoop[ ]{1,}|[ ]{1,}hadoop[ ]{1,}|[ ]{1,}hadoop$",     hadoop     
"^spark[ ]{1,}|[ ]{1,}spark[ ]{1,}|[ ]{1,}spark$",     spark     
"^models[ ]{1,}|[ ]{1,}models[ ]{1,}|[ ]{1,}models$",     modeling     
"^model[ ]{1,}|[ ]{1,}model[ ]{1,}|[ ]{1,}model$",     modeling     
"^predictive-modelingassess[ ]{1,}|[ ]{1,}predictive-modelingassess[ ]{1,}|[ ]{1,}predictive-modelingassess$",     modeling     
"^predictive-modelingwhat[ ]{1,}|[ ]{1,}predictive-modelingwhat[ ]{1,}|[ ]{1,}predictive-modelingwhat$",     modeling     
"^machine[ ]{1,}|[ ]{1,}machine[ ]{1,}|[ ]{1,}machine$",     machine-learning     
"^machine-learningexperience[ ]{1,}|[ ]{1,}machine-learningexperience[ ]{1,}|[ ]{1,}machine-learningexperience$",     machine-learning     
"^machinekeywords[ ]{1,}|[ ]{1,}machinekeywords[ ]{1,}|[ ]{1,}machinekeywords$",     machine-learning     
"^machinelearning[ ]{1,}|[ ]{1,}machinelearning[ ]{1,}|[ ]{1,}machinelearning$",     machine-learning     
"^machine-learningbut[ ]{1,}|[ ]{1,}machine-learningbut[ ]{1,}|[ ]{1,}machine-learningbut$",     machine-learning     
"^machine-learningmachine[ ]{1,}|[ ]{1,}machine-learningmachine[ ]{1,}|[ ]{1,}machine-learningmachine$",     machine-learning     
"^machine-learningmust[ ]{1,}|[ ]{1,}machine-learningmust[ ]{1,}|[ ]{1,}machine-learningmust$",     machine-learning     
"^machine-learningrecommending[ ]{1,}|[ ]{1,}machine-learningrecommending[ ]{1,}|[ ]{1,}machine-learningrecommending$",     machine-learning     
"^analytical[ ]{1,}|[ ]{1,}analytical[ ]{1,}|[ ]{1,}analytical$",     analytics     
"^programmatically[ ]{1,}|[ ]{1,}programmatically[ ]{1,}|[ ]{1,}programmatically$",     programming     
"^programmable[ ]{1,}|[ ]{1,}programmable[ ]{1,}|[ ]{1,}programmable$",     programming     
"^programmingbe[ ]{1,}|[ ]{1,}programmingbe[ ]{1,}|[ ]{1,}programmingbe$",     programming     
"^programmingexperience[ ]{1,}|[ ]{1,}programmingexperience[ ]{1,}|[ ]{1,}programmingexperience$",     programming     
"^programmingminimum[ ]{1,}|[ ]{1,}programmingminimum[ ]{1,}|[ ]{1,}programmingminimum$",     programming     
"^programmingscripting[ ]{1,}|[ ]{1,}programmingscripting[ ]{1,}|[ ]{1,}programmingscripting$",     programming     
"^programmingsolid[ ]{1,}|[ ]{1,}programmingsolid[ ]{1,}|[ ]{1,}programmingsolid$",     programming     
"^softwarealgorithm[ ]{1,}|[ ]{1,}softwarealgorithm[ ]{1,}|[ ]{1,}softwarealgorithm$",     software     
"^softwareexperience[ ]{1,}|[ ]{1,}softwareexperience[ ]{1,}|[ ]{1,}softwareexperience$",     software     
"^softwares[ ]{1,}|[ ]{1,}softwares[ ]{1,}|[ ]{1,}softwares$",     software     
"^softwaretools[ ]{1,}|[ ]{1,}softwaretools[ ]{1,}|[ ]{1,}softwaretools$",     software     
"^researchers[ ]{1,}|[ ]{1,}researchers[ ]{1,}|[ ]{1,}researchers$",     research     
"^researcher[ ]{1,}|[ ]{1,}researcher[ ]{1,}|[ ]{1,}researcher$",     research     
"^researches[ ]{1,}|[ ]{1,}researches[ ]{1,}|[ ]{1,}researches$",     research     
"^researchfocused[ ]{1,}|[ ]{1,}researchfocused[ ]{1,}|[ ]{1,}researchfocused$",     research     
"^academicresearch[ ]{1,}|[ ]{1,}academicresearch[ ]{1,}|[ ]{1,}academicresearch$",     research     
"^businessresearch[ ]{1,}|[ ]{1,}businessresearch[ ]{1,}|[ ]{1,}businessresearch$",     research     
"^researchanalytical[ ]{1,}|[ ]{1,}researchanalytical[ ]{1,}|[ ]{1,}researchanalytical$",     research     
"^researched[ ]{1,}|[ ]{1,}researched[ ]{1,}|[ ]{1,}researched$",     research     
"^researchersubject[ ]{1,}|[ ]{1,}researchersubject[ ]{1,}|[ ]{1,}researchersubject$",     research     
"^researching[ ]{1,}|[ ]{1,}researching[ ]{1,}|[ ]{1,}researching$",     research     
"^researchresponsibilitiesexploratory[ ]{1,}|[ ]{1,}researchresponsibilitiesexploratory[ ]{1,}|[ ]{1,}researchresponsibilitiesexploratory$",     research     
"^researchscientific[ ]{1,}|[ ]{1,}researchscientific[ ]{1,}|[ ]{1,}researchscientific$",     research     
"^algorithm[ ]{1,}|[ ]{1,}algorithm[ ]{1,}|[ ]{1,}algorithm$",     algorithms     
"^algorithmic[ ]{1,}|[ ]{1,}algorithmic[ ]{1,}|[ ]{1,}algorithmic$",     algorithms     
"^algorithmsdesired[ ]{1,}|[ ]{1,}algorithmsdesired[ ]{1,}|[ ]{1,}algorithmsdesired$",     algorithms     
"^algorithmsexperience[ ]{1,}|[ ]{1,}algorithmsexperience[ ]{1,}|[ ]{1,}algorithmsexperience$",     algorithms     
"^algorithmsim[ ]{1,}|[ ]{1,}algorithmsim[ ]{1,}|[ ]{1,}algorithmsim$",     algorithms     
"^algorithmswhat[ ]{1,}|[ ]{1,}algorithmswhat[ ]{1,}|[ ]{1,}algorithmswhat$",     algorithms     
